epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,4945.7,2.0867,3.64793,4.23679,2.20343,0.03197,0.25,0.05109,0.01131,0.03197,0.25,0.05119,0.02277,2.14757,2.33438,5.66505,2.40464,0.000272375,0.000272375,0.000272375
81,4997.19,2.01486,3.24149,4.17827,2.12722,0.02564,0.375,0.03792,0.01309,0.02564,0.375,0.03875,0.01871,2.00022,2.37677,5.75605,2.3653,0.00026,0.00026,0.00026
82,5019.04,2.05874,3.40705,4.38002,2.23949,0.0211,0.125,0.04902,0.01288,0.0211,0.125,0.04945,0.02454,2.00022,2.37677,5.75605,2.3653,0.000247625,0.000247625,0.000247625
83,5046.11,2.01416,2.88614,4.25987,2.20995,0.02052,0.25,0.03209,0.00793,0.02052,0.25,0.03792,0.01855,2.02232,2.39376,5.39012,2.39634,0.00023525,0.00023525,0.00023525
84,5060.16,2.20241,3.17346,4.26375,2.2563,0.02052,0.25,0.03209,0.00793,0.02052,0.25,0.03792,0.01855,2.02232,2.39376,5.39012,2.39634,0.000222875,0.000222875,0.000222875
85,5076.63,2.0648,3.05888,4.24703,2.20637,0.01354,0.25,0.03687,0.00849,0.01911,0.375,0.04295,0.01571,1.96247,2.31546,4.91059,2.29947,0.0002105,0.0002105,0.0002105
86,5091.01,2.02149,3.08262,4.03332,2.18956,0.01354,0.25,0.03687,0.00849,0.01911,0.375,0.04295,0.01571,1.96247,2.31546,4.91059,2.29947,0.000198125,0.000198125,0.000198125
87,5109,2.08098,2.93745,4.4284,2.27048,0.0172,0.5,0.03945,0.00853,0.01542,0.5,0.0446,0.01602,1.91966,2.31005,4.7056,2.29431,0.00018575,0.00018575,0.00018575
88,5128.84,2.15408,3.4132,4.22744,2.24943,0.0172,0.5,0.03945,0.00853,0.01542,0.5,0.0446,0.01602,1.91966,2.31005,4.7056,2.29431,0.000173375,0.000173375,0.000173375
89,5147.1,2.10169,3.28358,4.39642,2.21533,0.00347,0.875,0.02257,0.00498,0.00347,0.875,0.02474,0.01206,1.86709,2.2794,4.67839,2.27163,0.000161,0.000161,0.000161
90,5185.15,2.16803,3.10482,4.34867,2.35537,0.01193,0.25,0.04978,0.009,0.01193,0.25,0.05207,0.01504,1.86709,2.2794,4.67839,2.27163,0.000148625,0.000148625,0.000148625
91,5209.65,1.98537,3.50095,6.02693,2.3421,0.00289,0.75,0.01729,0.00544,0.0035,0.875,0.02517,0.01203,1.84881,2.27749,4.70854,2.25607,0.00013625,0.00013625,0.00013625
92,5232.09,2.00876,3.65823,5.92976,2.3512,0.00817,0.125,0.04526,0.00898,0.01455,0.25,0.05204,0.01422,1.84881,2.27749,4.70854,2.25607,0.000123875,0.000123875,0.000123875
93,5263.06,2.11959,3.02847,6.10474,2.45506,0.00363,0.75,0.03453,0.00798,0.00363,0.75,0.03891,0.01984,1.89954,2.26361,4.62177,2.18824,0.0001115,0.0001115,0.0001115
94,5282.94,2.08431,3.05826,5.87813,2.437,0.01031,0.875,0.04632,0.00916,0.01031,0.875,0.04825,0.01544,1.89954,2.26361,4.62177,2.18824,9.9125e-05,9.9125e-05,9.9125e-05
95,5309.02,1.96085,2.89176,5.91784,2.2205,0.00346,0.875,0.02747,0.00808,0.00346,0.875,0.036,0.01634,1.95444,2.14583,4.55285,2.18771,8.675e-05,8.675e-05,8.675e-05
96,5326.88,1.87954,3.29426,5.8799,2.05406,0.00339,1,0.03891,0.01075,0.00339,1,0.04575,0.01736,1.95444,2.14583,4.55285,2.18771,7.4375e-05,7.4375e-05,7.4375e-05
97,5347.79,2.06351,2.68748,5.75055,2.36501,0.00361,0.75,0.03864,0.01049,0.00361,0.75,0.05016,0.02522,1.98731,2.05228,4.51144,2.16187,6.2e-05,6.2e-05,6.2e-05
98,5375.05,1.92114,2.30597,5.78049,2.17506,0.0034,1,0.03661,0.01022,0.0034,1,0.03781,0.01644,1.98731,2.05228,4.51144,2.16187,4.9625e-05,4.9625e-05,4.9625e-05
